"qt_cota","entrada","saida","permanencia","id_coagricultor","valor_cota"
9,2020-02-01,2020-04-01,2,1,3240
1,2020-02-01,2022-07-01,29,2,5220
1,2020-02-01,2020-10-01,8,3,1440
1,2020-02-01,2020-07-01,5,4,900
1,2020-02-01,2020-12-01,10,5,1800
1,2020-02-01,2021-04-01,14,6,2520
1,2020-02-01,2024-01-01,47,7,8460
1,2020-02-01,2023-05-01,39,8,7020
1,2020-02-01,2020-03-01,1,9,180
1,2020-02-01,2020-12-01,10,10,1800
1,2020-02-01,2022-07-01,29,11,5220
1,2020-02-01,2021-12-01,22,12,3960
1,2020-02-01,2020-08-01,6,13,1080
1,2020-02-01,2021-04-01,14,14,2520
1,2020-02-01,2022-05-01,27,15,4860
1,2020-02-01,2020-04-01,2,16,360
1,2020-03-01,2020-08-01,5,17,900
1,2020-03-01,2022-08-01,29,18,5220
1,2020-03-01,2020-06-01,3,19,540
1,2020-03-01,2020-08-01,5,20,900
1,2020-03-01,2020-10-01,7,21,1260
1,2020-05-01,2020-11-01,6,22,1080
1,2020-05-01,2021-01-01,8,23,1440
1,2020-05-01,2022-11-01,30,24,5400
1,2020-05-01,2021-01-01,8,25,1440
1,2020-05-01,2022-01-01,20,26,3600
1,2020-05-01,2021-05-01,12,27,2160
1,2020-05-01,2020-06-01,1,28,180
1,2020-06-01,2020-09-01,3,29,540
1,2020-06-01,2021-01-01,7,30,1260
1,2020-06-01,2021-08-01,14,31,2520
1,2020-06-01,2021-03-01,9,32,1620
1,2020-06-01,2020-07-01,1,33,180
1,2020-06-01,2022-08-01,26,34,4680
1,2020-07-01,2020-12-01,5,35,900
1,2020-07-01,2020-09-01,2,36,360
1,2020-07-01,2021-01-01,6,37,1080
1,2020-08-01,2021-02-01,6,38,1080
1,2020-08-01,2021-01-01,5,39,900
1,2020-09-01,2021-04-01,7,40,1260
1,2020-09-01,2021-01-01,4,41,720
1,2020-10-01,2021-01-01,3,42,540
