"dia","id_partilha","cultivo","variedade","quantidade","tipo_cultivo","mes"
2020-02-01,1,"batata_doce","branca",34,"tuberculo",2020-02-01
2020-02-01,1,"abacate","padrao",20,"fruta",2020-02-01
2020-02-01,1,"mamao","formosa",14.5,"fruta",2020-02-01
2020-02-01,1,"abobora","mini_moranga",6,"legume",2020-02-01
2020-02-01,1,"rucula","padrao",5.5,"hortalica",2020-02-01
2020-02-01,1,"almeirao","branco",5,"hortalica",2020-02-01
2020-02-01,1,"cebolinha","padrao",3.5,"ervas",2020-02-01
2020-02-01,1,"salsinha","padrao",1.4,"ervas",2020-02-01
2020-02-08,2,"batata_doce","branca",25,"tuberculo",2020-02-01
2020-02-08,2,"abacate","bolinha",17,"fruta",2020-02-01
2020-02-08,2,"abacate","padrao",13,"fruta",2020-02-01
2020-02-08,2,"lima","da_persia",7,"fruta",2020-02-01
2020-02-08,2,"rucula","padrao",2,"hortalica",2020-02-01
2020-02-08,2,"alface","roxo",2,"hortalica",2020-02-01
2020-02-08,2,"alface","romana",2,"hortalica",2020-02-01
2020-02-08,2,"mostarda","crespa",2,"hortalica",2020-02-01
2020-02-08,2,"coentro","padrao",1,"ervas",2020-02-01
2020-02-08,2,"manjericao","grecco",1,"ervas",2020-02-01
2020-02-15,3,"abacate","padrao",30,"fruta",2020-02-01
2020-02-15,3,"coco","baiano",24.5,"fruta",2020-02-01
2020-02-15,3,"batata_doce","branca",20.7,"tuberculo",2020-02-01
2020-02-15,3,"almeirao","branco",8,"hortalica",2020-02-01
2020-02-15,3,"beldroega","padrao",5,"outros",2020-02-01
2020-02-15,3,"cebolinha","padrao",4,"ervas",2020-02-01
2020-02-15,3,"quiabo","padrao",3,"legume",2020-02-01
2020-02-15,3,"rabanete","padrao",1.8,"tuberculo",2020-02-01
2020-02-22,4,"abacate","padrao",23.4,"fruta",2020-02-01
2020-02-22,4,"batata_doce","branca",20,"tuberculo",2020-02-01
2020-02-22,4,"almeirao","branco",6,"hortalica",2020-02-01
2020-02-22,4,"jabuticaba","padrao",4.4,"fruta",2020-02-01
2020-02-22,4,"quiabo","padrao",4,"legume",2020-02-01
2020-02-22,4,"rucula","padrao",1.9,"hortalica",2020-02-01
2020-02-22,4,"boldinho","chileno",1,"ervas",2020-02-01
2020-02-29,5,"abacate","padrao",27,"fruta",2020-02-01
2020-02-29,5,"mandioca","padrao",21.1,"tuberculo",2020-02-01
2020-02-29,5,"quiabo","padrao",5.8,"legume",2020-02-01
2020-02-29,5,"batata_doce","branca",4.6,"tuberculo",2020-02-01
2020-02-29,5,"cebolinha","padrao",3.7,"ervas",2020-02-01
2020-02-29,5,"beldroega","padrao",2,"outros",2020-02-01
2020-02-29,5,"manjericao","grecco",1.4,"ervas",2020-02-01
2020-02-29,5,"salsinha","padrao",0.83,"ervas",2020-02-01
2020-03-07,6,"abacate","padrao",26,"fruta",2020-03-01
2020-03-07,6,"mandioca","padrao",21,"tuberculo",2020-03-01
2020-03-07,6,"quiabo","padrao",5.5,"legume",2020-03-01
2020-03-07,6,"rucula","padrao",3.9,"hortalica",2020-03-01
2020-03-07,6,"alface","romana",2.2,"hortalica",2020-03-01
2020-03-07,6,"alface","baba_de_verao",2.2,"hortalica",2020-03-01
2020-03-07,6,"cebolinha","padrao",1,"ervas",2020-03-01
2020-03-07,6,"camomila","padrao",0.05,"planta_medicinal",2020-03-01
2020-03-07,6,"coentro","semente",0.12,"ervas",2020-03-01
2020-03-14,7,"abacate","padrao",14.6,"fruta",2020-03-01
2020-03-14,7,"abacate","padrao",14,"fruta",2020-03-01
2020-03-14,7,"mandioca","padrao",13.7,"tuberculo",2020-03-01
2020-03-14,7,"quiabo","padrao",8.6,"legume",2020-03-01
2020-03-14,7,"rucula","padrao",4.3,"hortalica",2020-03-01
2020-03-14,7,"beldroega","padrao",3.4,"outros",2020-03-01
2020-03-14,7,"alface","elba",2.7,"hortalica",2020-03-01
2020-03-14,7,"cebolinha","padrao",2.4,"ervas",2020-03-01
2020-03-14,7,"caruru","amarantos",2,"hortalica",2020-03-01
