"data","temp_min","temp_med","temp_max","umid_min","umid_med","umid_max","precip"
2020-01-01,22.35,27.71,33.07,41.37,62.985,84.6,0
2020-01-02,21.69,27.01,32.33,44.35,64.475,84.6,24.38
2020-01-03,20.67,25.655,30.64,50.94,71.87,92.8,19.81
2020-01-04,20.4,25.085,29.77,56.18,74.39,92.6,9.4
2020-01-05,20.29,25.095,29.9,52.49,72.645,92.8,4.318
2020-01-06,20.7,25.2,29.7,58.85,75.725,92.6,3.302
2020-01-07,21.31,26.28,31.25,48.3,70.15,92,0
2020-01-08,22.29,27.025,31.76,51.14,71.87,92.6,1.778
2020-01-09,22.35,25.785,29.22,61.73,76.915,92.1,4.572
2020-01-10,20.78,26.17,31.56,52.26,72.93,93.6,69.09
2020-01-11,17.27,23.685,30.1,57.5,75.55,93.6,254
2020-01-12,23.69,28.615,33.54,40.93,65.215,89.5,0
2020-01-13,20.79,26.725,32.66,50.73,71.765,92.8,14.99
2020-01-14,21.41,26.415,31.42,52.26,72.28,92.3,0
2020-01-15,22.29,27.77,33.25,41.98,66.64,91.3,0
2020-01-16,23.79,29.14,34.49,27.82,56.66,85.5,0
2020-01-17,21.88,28.89,35.9,32.1,61.25,90.4,0
2020-01-18,19.15,24.965,30.78,55.16,72.58,90,0
2020-01-19,19.76,26.165,32.57,48.2,70.15,92.1,8.13
2020-01-20,21.51,26.55,31.59,50.94,71.02,91.1,0
2020-01-21,20.8,26.865,32.93,43.49,66.845,90.2,0
2020-01-22,20.29,26.395,32.5,46.13,68.665,91.2,0
2020-01-23,21.28,26.585,31.89,50.46,71.63,92.8,12.19
2020-01-24,19.96,23.87,27.78,65.08,79.09,93.1,25.65
2020-01-25,18.08,23.535,28.99,53.28,73.19,93.1,0
2020-01-26,19.56,25.015,30.47,42.69,65.145,87.6,0
2020-01-27,18.69,25.7,32.71,30.08,57.64,85.2,0
2020-01-28,19.02,26.115,33.21,22.55,52.225,81.9,0
2020-01-29,22.26,27.715,33.17,37.95,63.525,89.1,0
2020-01-30,22.73,27.75,32.77,42.72,66.26,89.8,0
2020-01-31,20.94,26.23,31.52,48.1,70.6,93.1,39.12
2020-02-01,21.14,26.18,31.22,48.34,70.72,93.1,0
2020-02-02,21.65,25.875,30.1,54.7,73.2,91.7,0
2020-02-03,21.85,26.975,32.1,42.76,67.38,92,0
2020-02-04,21.17,26.365,31.56,47.36,69.43,91.5,2.032
2020-02-05,20.87,26.685,32.5,48.67,70.785,92.9,30.73
2020-02-06,21.44,26.31,31.18,44.31,68.605,92.9,762
2020-02-07,20.6,25.705,30.81,52.15,72.475,92.8,16.51
2020-02-08,20.63,24.715,28.8,54.36,73.53,92.7,254
2020-02-09,21.41,25.695,29.98,49.09,67.495,85.9,1.524
2020-02-10,21.61,25.535,29.46,56.52,73.86,91.2,1.27
2020-02-11,21.65,24.73,27.81,64.77,78.385,92,762
2020-02-12,18.08,22.95,27.82,68.43,80.265,92.1,4.826
2020-02-13,18.25,22.11,25.97,66.46,79.33,92.2,0
2020-02-14,17.71,23.82,29.93,48.47,70.235,92,0
2020-02-15,18.86,25.715,32.57,44.79,68.295,91.8,0
2020-02-16,22.26,27.94,33.62,41.14,63.82,86.5,508
