dia,partilha,cultivar,quantidade
01/02/2020,1,Batata Doce Branca,34.00
01/02/2020,1,Avocado,20.00
01/02/2020,1,Mamão Formosa,14.50
01/02/2020,1,Mini Moranga,6.00
01/02/2020,1,Rúcula,5.50
01/02/2020,1,Almeirão Branco,5.00
01/02/2020,1,Cebolinha,3.50
01/02/2020,1,Salsinha,1.40
08/02/2020,2,Batata Doce Branca,25.00
08/02/2020,2,Abacate Bolinha,17.00
08/02/2020,2,Avocado,13.00
08/02/2020,2,Lima Da Pérsia,7.00
08/02/2020,2,Rúcula,2.00
08/02/2020,2,Alface Roxo,2.00
08/02/2020,2,Alface Romana,2.00
08/02/2020,2,Mostarda Crespa,2.00
08/02/2020,2,Coentro,1.00
08/02/2020,2,Manjericão Grecco,1.00
15/02/2020,3,Avocado,30.00
15/02/2020,3,Coco Baiano,24.50
15/02/2020,3,Batata Doce Branca,20.70
15/02/2020,3,Almeirão Branco,8.00
15/02/2020,3,Beldroega,5.00
15/02/2020,3,Cebolinha,4.00
15/02/2020,3,Quiabo,3.00
15/02/2020,3,Rabanete,1.80
22/02/2020,4,Avocado,23.40
22/02/2020,4,Batata Doce Branca,20.00
22/02/2020,4,Almeirão Branco,6.00
22/02/2020,4,Jaboticaba,4.40
22/02/2020,4,Quiabo,4.00
22/02/2020,4,Rúcula,1.90
22/02/2020,4,Boldinho Chileno,1.00
29/02/2020,5,Avocado,27.00
29/02/2020,5,Mandioca,21.10
29/02/2020,5,Quiabo,5.80
29/02/2020,5,Batata Doce Branca,4.60
29/02/2020,5,Cebolinha,3.70
29/02/2020,5,Beldroega,2.00
29/02/2020,5,Manjericão Grecco,1.40
29/02/2020,5,Salsinha,0.83
07/03/2020,6,Avocado,26.00
07/03/2020,6,Mandioca,21.00
07/03/2020,6,Quiabo,5.50
07/03/2020,6,Rúcula,3.90
07/03/2020,6,Alface Romana,2.20
07/03/2020,6,Alface Babá De Verão,2.20
07/03/2020,6,Cebolinha,1.00
07/03/2020,6,Camomila,0.05
07/03/2020,6,Sementes De Coentro,0.12
14/03/2020,7,Avocado,14.60
14/03/2020,7,Abacate,14.00
14/03/2020,7,Mandioca,13.70
14/03/2020,7,Quiabo,8.60
14/03/2020,7,Rúcula,4.30
14/03/2020,7,Beldroega,3.40
14/03/2020,7,Alface Elba,2.70
14/03/2020,7,Cebolinha,2.40
14/03/2020,7,Caruru Amarantos,2.00
14/03/2020,7,Alface Crespa,1.55
21/03/2020,8,Avocado,22.60
21/03/2020,8,Mandioca,15.10
21/03/2020,8,Quiabo,13.80
21/03/2020,8,Abacate,7.50
21/03/2020,8,Alface Elba,5.80
21/03/2020,8,Berinjela Comprida,5.50
21/03/2020,8,Milho Roxo Peruano,5.50
21/03/2020,8,Alface Babá De Verão,4.10
21/03/2020,8,Rúcula,4.10
28/03/2020,9,Abacate,16.00
28/03/2020,9,Batata Doce Branca,15.90
28/03/2020,9,Quiabo,10.60
28/03/2020,9,Feijão Orelha De Porco,8.70
28/03/2020,9,Mostarda,6.00
28/03/2020,9,Rabanete,4.00
28/03/2020,9,Berinjela Comprida,3.40
28/03/2020,9,Alface Elba,3.20
28/03/2020,9,Rúcula,3.00
28/03/2020,9,Alface Babá De Verão,3.00
28/03/2020,9,Alho Poró,2.90
28/03/2020,9,Cebolinha,2.15
28/03/2020,9,Salsinha,1.07
28/03/2020,9,Pimenta Biquinho Amarela,0.80
28/03/2020,9,Manjericão Grecco,0.29
28/03/2020,9,Pimenta Biquinho Vermelha,0.20
04/04/2020,10,Quiabo Santa Cruz,14.30
04/04/2020,10,Alface Elba,12.10
04/04/2020,10,Batata Doce Branca,11.50
04/04/2020,10,Cenoura,10.60
04/04/2020,10,Berinjela,6.10
04/04/2020,10,Rúcula,5.60
04/04/2020,10,Maxixe Do Norte,3.70
04/04/2020,10,Jiló Morro Redondo,2.90
04/04/2020,10,Pimenta Biquinho Amarela E Vermelha,0.60
11/04/2020,11,Quiabo Santa Cruz,13.40
11/04/2020,11,Batata Doce Branca,11.50
11/04/2020,11,Rúcula,7.70
11/04/2020,11,Rábano Minowase,5.50
11/04/2020,11,Almeirão Branco,5.50
11/04/2020,11,Mostarda,5.40
11/04/2020,11,Hortelã Do Norte,3.00
11/04/2020,11,Jiló Morro Redondo,2.68
11/04/2020,11,Rabanete,2.25
11/04/2020,11,Cebolinha,1.65
11/04/2020,11,Salsa,0.98
11/04/2020,11,Urucum,0.52
18/04/2020,12,Quiabo Santa Cruz,11.90
18/04/2020,12,Berinjela,11.10
18/04/2020,12,Batata Doce Branca,5.90
18/04/2020,12,Rabanete,5.60
18/04/2020,12,Rábano Minowase,5.10
18/04/2020,12,Rúcula,5.00
18/04/2020,12,Cenoura,4.70
18/04/2020,12,Maxixe Do Norte,3.80
18/04/2020,12,Jiló Morro Redondo,3.70
18/04/2020,12,Almeirão Branco,3.70
18/04/2020,12,Pimenta Biquinho Amarela E Vermelha,0.93
18/04/2020,12,Hortelã,0.71
25/04/2020,13,Quiabo Santa Cruz,11.60
25/04/2020,13,Rabanete,6.20
25/04/2020,13,Batata Doce Branca,6.00
25/04/2020,13,Berinjela,5.10
25/04/2020,13,Rúcula,3.00
